GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectturma,poligono,PoligonoConvexo,69,0,2,0,15,0,7,0,6,0
projectturma,poligono,Ponto,193,0,16,0,28,0,25,0,17,0
projectturma,poligono,Poligono,266,0,20,0,37,0,18,0,8,0
projectturma,poligono,Retangulo,72,0,0,0,18,0,4,0,4,0
projectturma,poligono,Triangulo,79,0,0,0,17,0,4,0,4,0
projectturma,poligono,NaoConvexoException,3,0,0,0,1,0,1,0,1,0
